Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
YES,DAILY,GOOD,THEY HAVE GOOD QUALITY BUT AREN’T VERY CONSISTENT ,5,3,1,4,2,6,BERIBES ,3,4,2,1,5,2,2,4,I LIKE THEM TO BE NOISE CANCELLING ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE REVIEWS ,18-24,FEMALE,"LESS THAN $25,000",NOPE,Nope
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,IT'S CLEAR AND CRISP,6,5,3,4,2,1,JBL,4,3,4,2,5,3,1,4,DESIGNED BETTER/CLEANER,LISTENING TO MUSIC,HOME WORKOUTS,$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",AFFORDABILITY,25-34,FEMALE,"$50,000-$75,000",-,-
YES,SEVERAL TIMES A WEEK,AVERAGE,I WISH IT COULD BE LOUDER AND SOMETIMES THE SOUND OF THE MUSIC CUTS OFF WHEN THE BATTERY IS LOWER.,3,2,1,6,5,4,"BOSE, JBL, SAMSUNG, SONY",3,3,3,3,4,4,4,3,IF THE BATTERY LASTED LONGER.,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,4,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IF IT’S LESS THEN $50 I’M BUYING IT,18-24,MALE,"MORE THAN $100,000",NUN,Nun
YES,1-3 TIMES A MONTH,GOOD,"IT IS VERY LOUD, AND I PREFER LOUDNESS TO QUALITY AT A CERTAIN POINT AND SO FOR ME THE QUALITY IS GREAT",6,5,4,3,2,1,"BOSE, JBL",5,4,5,5,5,5,5,5,CHEAPER AND MORE ACCESSIBLE BECAUSE THE ACTUAL QUALITY IS GREAT,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE ONLINE SOCIAL INTERACTIONS",LESS THAN $50,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),QUALITY OF THE SPEAKER AND HOW LOUD THE NOISE IS ,18-24,MALE,"LESS THAN $25,000",NONE!,none!
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,IT’S EXCELLENT ,1,2,4,6,5,3,ANKER,3,1,1,2,2,2,3,5,LOUDER,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)", HOW LOUD IT CAN BE ,18-24,MALE,"LESS THAN $25,000",NO,No
YES,SEVERAL TIMES A WEEK,EXCELLENT,VERY LOUD AND CRISP,2,4,5,6,3,1,"BOSE, JBL, SONY",4,5,5,5,5,5,5,5,THE LONGEVITY ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,3,BRAND WEBSITES,IS THE PRICE WORTH IT ,18-24,FEMALE,"$50,000-$75,000",THANKS,thanks
YES,SEVERAL TIMES A WEEK,EXCELLENT,THE MUSIC AND NOISE IS VERY CLEAR,6,5,4,3,2,1,JBL,4,2,3,4,4,4,5,4,IF IT WERE CHEAPER,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,BRAND WEBSITES,I CHECK THE REVIEWS AND ASK MY PEERS IF IT IS WORTH THE PRICE,18-24,FEMALE,"MORE THAN $100,000",N/A,n/a
YES,ONCE A WEEK,GOOD,"THE SOUND QUALITY IS GOOD, BUT SOMETIMES THE BASS CAN GET LOUDER THAN THE ACTUAL MUSIC PLAYING.",5,4,1,3,2,6,"BOSE, JBL, SAMSUNG",4,5,5,4,5,4,3,4,"PORTABILITY AND PRICING, I LIKE TO TAKE IT RUNNING WITH ME SO SOMETHING THAT IS LIGHT WEIGHT BUT DOES NOT BREAK THE BANK WOULD BE AMAZING.","LISTENING TO MUSIC, OUTDOOR ACTIVITIES; RUNNING, WORKOUTS, ETC.","HOME WORKOUTS, OUTDOOR WORKOUTS",LESS THAN $50,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I REVIEW PRICING SIDE BY SIDE WITH REVIEWS ON DURABILITY AND EXPERIENCE,25-34,FEMALE,"$25,000-$50,000",N/A,n/a
YES,1-3 TIMES A MONTH,GOOD,I'VE HEARD BETTER SPEAKERS BUT FOR THE SIZE IT SOUNDS GOOD.,4,2,3,5,1,6,OONTZ,4,4,4,2,4,2,2,3,IF IT WAS LOUDER.,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",HOW MUCH I WANT TO SPEND ON NEW TECHNOLOGY THAT ISN'T EVERYDAY,25-34,FEMALE,"$50,000-$75,000",.,.
YES,SEVERAL TIMES A WEEK,EXCELLENT,"I RATED MY SPEAKER AS EXCELLENT BECAUSE IT DOES A FANTASTIC JOB AT BEING ABLE TO BALANCE EVERYTHING. WHETHER IT BE FROM THE LOUD BASS TO HEARING HIDDEN VOCALS, THE SPEAKER IS ABLE TO MAKE ME HEAR THINGS THAT I WOULDN'T IF I WAS PLAYING THE MUSIC ALOUD FROM MY PHONE.",6,5,4,3,2,1,"JBL, SAMSUNG, SONY",5,4,5,4,5,4,1,4,"THE SPEAKER IS QUITE HEAVY SO IF IT WEIGHED LESS, IT WOULD BE BETTER.",LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IF ONE SPEAKER COSTS ROUGHLY ABOUT $20 MORE THAN ANOTHER SPEAKER THEN I READ THE REVIEWS AND FEATURES TO SEE IF THE COST IS WORTH IT.,18-24,MALE,"$25,000-$50,000",N/A,N/A
YES,DAILY,EXCELLENT,LOUD ASL,1,2,3,4,5,6,JBL,1,3,3,1,1,5,1,4,IT’S PERFECT!,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$100 TO $200,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",WHAT MY POCKETS CAN AFFORD AND WHAT IS THE LOUDEST,18-24,MALE,"MORE THAN $100,000",NA,Na
YES,SEVERAL TIMES A WEEK,GOOD,I CAN STILL HEAR BACKGROUND NOISE,6,5,3,4,1,2,"BOSE, SAMSUNG, SONY",5,5,5,5,5,5,4,3,SWEAT RESISTANCE ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,4,BRAND WEBSITES,PRICE COMPARISON DEPENDENT UPON QUALITY ,35-44,FEMALE,"$75,000-$100,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,CLEAR SOUND AND GETS LOUD,2,1,6,3,5,4,"BOSE, JBL",3,4,4,3,3,2,2,2,BATTERY LIFE LONGER ,LISTENING TO MUSIC,MORE ONLINE SOCIAL INTERACTIONS,$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",GOOD QUALITY BUT NOT TOO PRICEY ,18-24,FEMALE,"$25,000-$50,000",NA,Na
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,"IT’S REALLY GOOD ABOUT QUALITY SOUND, HOWEVER IT LOOSE COMFORT OVER THE DESIGN.",5,3,4,2,1,6,APPLE ,4,4,5,5,5,4,3,3,COMFORT ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE PRICE IS REALLY IMPORTANT. IT’S AMAZING WHEN THERE’S A GOOD DEAL ABOUT PRICE AND QUALITY.,18-24,FEMALE,"LESS THAN $25,000","NO, THANKS🫶🏼","No, thanks🫶🏼"
YES,DAILY,EXCELLENT,SMALL BEER CAN SIZED SPEAKER GETS ME GREAT BASS WHEN I NEED IT!,4,2,1,6,3,5,JBL,2,1,5,4,5,3,1,5,"NOTHING, IT’S PERFECT FOR
MY USE. ",LISTENING TO MUSIC,WORKING FROM HOME MORE,$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I READ A LOT OF REVIEWS THEN BASE MY SELECTION ON THAT. ,55-64,MALE,"$75,000-$100,000",JBL  BLUETOOTH DEVICES ARE PERFECT FOR ME. ,JBL  Bluetooth devices are perfect for me. 
YES,SEVERAL TIMES A WEEK,GOOD,SOUNDS GOOD,6,5,4,2,3,1,BEATS,4,1,3,5,2,3,2,5,BETTER BATTERY LIFE,LISTENING TO MUSIC,HOME WORKOUTS,$200 TO $300,1,BRAND WEBSITES,I USUALLY GET A SPEAKER AS A GIFT SO I DON’T THINK ABOUT PRICE FOR MYSELF,18-24,MALE,PREFER NOT TO SAY,NONE,None
YES,1-3 TIMES A MONTH,EXCELLENT,VERY GOOD QUALITY AND SOUNDS CLEAR,6,4,1,2,3,5,JBL,2,5,5,3,5,3,1,5,SHOWING BATTERY PERCENTAGE INSTEAD OF JUST THE DOTS THAT INDICATE THE BATTERY CHARGE,LISTENING TO MUSIC,GOLFING,$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IF IT’S EXPENSIVE I SHOULDN’T HAVE TO BUY A NEW SPEAKER FOR A DECADE. CHEAPER THE BETTER AS I DO HAVE HEADPHONES WHICH I USE MORE OFTEN,18-24,MALE,"MORE THAN $100,000",N/A,N/A
YES,SEVERAL TIMES A WEEK,EXCELLENT,DEFINITELY HOW MUCH CLARITY THERE’S ON IT ,6,5,4,3,2,1,"JBL, SONY",5,5,5,5,5,5,5,3,"I HAVE NO IDEA, MAYBE THE LOUDER THE BETTER ","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE QUALITY ,25-34,FEMALE,"$25,000-$50,000",NOT REALLY ,Not really 
YES,SEVERAL TIMES A WEEK,GOOD,"ITS GOOD, BUT I KNOW OTHER BRANDS WHIT EXCELLENT SOUND QUALITY",6,5,4,3,2,1,JBL,3,4,5,5,3,3,2,5,WATERPROOF,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I DON’T BUY THE CHEAPEST BUT NEITHER THE MOST EXPENSIVE ,18-24,FEMALE,"LESS THAN $25,000",.,.
YES,SEVERAL TIMES A WEEK,EXCELLENT,I LOVE HOW LOUD IT IS AND HOW WELL I CAN FEEL THE BASS.,6,3,1,2,4,5,JBL,3,2,3,3,2,2,1,4, BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",SPENDING MORE TIME AT HOME,LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I LOOK AT THE BRAND OF THE SPEAKER AND WHERE I MAY BE PURCHASING IT FROM ,18-24,FEMALE,"LESS THAN $25,000",N/A,n/a
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,I LOVE IT ,4,5,6,3,1,2,"BOSE, JBL, BEATS ",3,3,3,5,5,5,5,5,NA ,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$100 TO $200,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF IT’S A GOOD BRAND ,18-24,FEMALE,PREFER NOT TO SAY,SAM DINA IS THE BEST! ,Sam Dina is the best! 
YES,SEVERAL TIMES A WEEK,GOOD,IT’S A SMALL SPEAKER SO IT’S NOT SUPER LOUD BUT IT’S LOUD ENOUGH,1,3,6,4,5,2,JBL,3,5,4,3,5,5,2,4,LARGER AND LOUDER,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I WONDER IF A SPEAKER IS WORTH THAT AMOUNT OF MONEY,18-24,FEMALE,"$75,000-$100,000",NONE,None
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,GOOD DEEP SOUND.,6,3,1,5,4,2,"BOSE, JBL",4,5,3,4,5,3,3,5,THAT CAN CONNECT MULTIPLE DEVICES AT THE SAME TIME,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","FUNCTIONALITY, SOUND QUALITY",18-24,MALE,"$25,000-$50,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,IT IS GOOD BUT COULD BE LOUDER,1,2,3,4,5,6,"BOSE, SAMSUNG, SONY",1,1,1,4,4,3,1,3,COULD BE MORE LOUD,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS",SPENDING MORE TIME AT HOME,$50 TO $100,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I GO FOR THE ONES ON SALE,25-34,FEMALE,"MORE THAN $100,000",N/A,n/a
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,NA,6,4,5,3,1,2,SAMSUNG,5,5,3,5,5,5,3,3,NA,LISTENING TO MUSIC,WORKING FROM HOME MORE,LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",NA,35-44,FEMALE,PREFER NOT TO SAY,SALWA MOHAMED ,Salwa Mohamed 
YES,SEVERAL TIMES A WEEK,GOOD,GOOD QUALITY BUT NOT LONG RANGE,6,5,1,2,3,4,"BOSE, JBL",2,3,4,4,4,2,2,5,"MORE RANGE, LOUDER",LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",GOOD QUALITY IS WORTH A HIGHER PRICE BUT WILL NOT PAY VERY HIGH PRICES ,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/a
YES,SEVERAL TIMES A WEEK,GOOD,IT IS LOUD,1,2,3,4,6,5,JBL,3,4,4,4,3,2,2,4,IF IT WERE LOUDER,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",$100 TO $200,2,BRAND WEBSITES,NOT OFTEN,18-24,MALE,"$25,000-$50,000",N/A,N/A
YES,SEVERAL TIMES A WEEK,GOOD,VERY RELIABLE AND SOUNDS GOOD,6,5,4,1,2,3,"BOSE, JBL",4,4,5,4,4,5,5,4,LONGER BATTERY LIFE ,LISTENING TO MUSIC,BEING IN THE DORM ,$100 TO $200,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",QUALITY AND SOUND ,18-24,MALE,PREFER NOT TO SAY,ALL SET ,All set 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,AVERAGE,IT’S GOOD BUT I DON’T THINK IT BALANCES THE SOUND AROUND ALL FREQUENCIES WHEN IT HIGHER VOLUMES.,6,3,1,2,5,4,"BOSE, JBL, SONY",2,5,5,4,5,2,1,3,"SOUND QUALITY, I WOULD ALSO LOVE IF IT’S WATERPROOF ","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",HOME WORKOUTS,$50 TO $100,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I EXAMINE AND COMPARE THE PRICE WITH THE DURABILITY AND QUALITY ,18-24,FEMALE,"$75,000-$100,000",GOOD QUESTIONS!,Good questions!
YES,ONCE A WEEK,AVERAGE,SOMETIMES SOUNDS CLOUDY,4,3,1,6,5,2,"BOSE, JBL, SAMSUNG",3,4,4,5,4,2,2,4,BETTER BATTERY LIFE,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, COLLEGE",$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",TRY TO BUY A GOOD SPEAKER BUT NOT A LOT OF MONEY,18-24,FEMALE,"LESS THAN $25,000",NO,no
